,name,price_score,proximity_to_park_score,criminality_score,desired
530,Beautiful and quiet home in Seattle,8,2,6,0
531,Central District room near Downtown,1,1,6,0
532,Centrally located sanctuary,2,4,6,0
533,Central District Bungalow ,7,6,6,0
534,Private bedroom in Central District,7,5,6,0
535,All you need in Capitol Hill - 4pax,4,8,6,0
536,Quiet and beautiful House,6,6,6,0
537,Charming Private Studio in Seattle,6,3,6,0
538,NEW! - Capitol Hill Apt 1100 sq ft,5,4,6,0
539,Artist's Garden Studio,6,1,6,0
540,Private Cottage,7,9,6,1
541,House of Suffrage: 5 bed sleeps 15!,0,1,6,0
542,The Green House in Madison Valley,2,1,6,0
543,Contemporary Urban - Guest Bedroom,9,5,6,1
544,Relaxing & Modern & Easy Access,6,2,6,0
545,"Private 1BR, Pkg, 5% to Charity",6,1,6,0
546,"Cozy, Dog Friendly Home",0,2,6,0
547,Charming 2bd Craftsman,1,5,6,0
548,Cute 1BR in Madison Valley!,4,1,6,0
549,Beautiful Craftsman House,0,1,6,0
550,Private room/bath - Madrona/Seattle,7,1,6,0
551,Wall Street: Luxury 3 bed/2.5 bath,0,6,6,0
552,Central District 2 BR with parking,1,1,6,0
553,Urban Farm & Solar-Powered Home,6,6,6,0
554,"TL ""Vermont"": newly renovated 1 bed",2,1,6,0
555,Cosy Central District room,8,1,6,0
556,"Cozy, Modern 1BR in Capitol Hill",4,2,6,0
557,Modern townhome  in great location,0,3,6,0
558,Charming 1 bedrm in Central Seattle,6,1,6,0
559,Cozy one bedroom Garden Cottage,4,6,6,0
560,Mid-Century Mdrn by Famous Archit.,7,3,6,0
561,Stylish Central District 2 Bedroom,5,1,6,0
562,New Convenient E Capitol Hill House,2,1,6,0
563,Charming Central Seattle House,1,4,6,0
564,Stylish & Cozy Apt in Urban Seattle,4,9,6,0
565,The Chalet: Modern 2 bed craftsman,2,3,6,0
566,Modern Townhouse near Capitol Hill,9,4,6,0
567,Quiet artsy bedroom near everything,3,9,6,0
568,Discounted Monthly RATES Jan & Feb,0,1,6,0
569,Large 1BR Apt Central Dist/Cap Hill,5,6,6,0
570,Entire House Close to Downtown & UW,2,3,6,0
571,Madrona Basement Walk-Out Suite,4,1,6,0
572,Central District's Central Digs,6,4,6,0
573,"1BD Apt near Downtown, UW, Cap Hill",7,1,6,0
574,1BR apt in cute 1904 Victorian,6,6,6,0
575,cosy house in central seattle,1,6,6,0
576,Modern Suite with Cozy Sitting Room,2,2,6,0
577,Sun filled Madrona cottage,3,3,6,0
578,Madrona Studio w/Private Entrance,7,3,6,0
579,"Spectacular view, great location.",7,5,6,0
580,Spacious 1920's room w/huge windows,8,4,6,0
581,Beautiful Madrona Large Private  ,5,3,6,0
582,Lake Views and Bald Eagle sightings,8,2,6,0
583,Cozy Private Home near the Lake #2,3,1,6,0
584,Room in quite central district home,9,3,6,0
585,Madrona Family Home,0,8,6,0
586,"Cozy,light filled, large 2 bedroom",0,8,6,0
587,Charming Victorian Central Seattle,0,4,6,0
588,Modern Home in the heart of Seattle,0,5,6,0
589,1 BR Apartment by Lake Washington,6,7,6,0
590,Chill Central District 2BR,3,7,6,0
591,Modern Comfort in a Sweet Location,2,9,6,0
592,Fabulous home for a family!,1,7,6,0
593,Cozy Private Home near the Lake #1,8,2,6,0
594,Charming Seattle Urban Studio,1,4,6,0
595,Charming Apartment in Madrona,7,3,6,0
596,Retreat like home in the woods,1,2,6,0
597,Awesome Studio In Heart of Seattle,3,2,6,0
598,Industrial comfortable studio loft,6,7,6,0
599,Newly remodeled spacious apartment,4,2,6,0
600,Cozy Cottage in Madrona,6,8,6,1
601,Room in great house near downtown,9,8,6,1
602,Comfy Craftsman with Mountain View,7,3,6,0
603,Sweet and Cozy Madrona Apartment,6,3,6,0
604,"Beautiful home, minutes to Downtown",6,2,6,0
605,180° Lake & Mtn View Home!,0,5,6,0
606,Madrona Casita,6,7,6,0
607,Airy room with stellar views,8,2,6,0
608,Guest Suite with Private Entrance,7,1,6,0
609,"Madrona, 1 bedroom apt",7,6,6,0
610,Bungalow 3 BR home in Madrona,0,6,6,0
611,Seattle Above Lake Washington,4,3,6,0
612,Cozy home for world travelers,3,1,6,0
613,"Perfect for families, best location",0,6,6,0
614,Garden suite with incredible views,3,4,6,0
615,serene apartment close to UW,7,0,3,0
616,"2 Baths W/D,View walk UW (302)",2,0,3,0
617,Amazing English Tudor Home Near UW,2,3,3,0
618,Private bath walk UW U Village(202),8,0,3,0
619,UW Hacker House - 2nd flr 2p U,9,6,3,0
620,cozy balcony apt one block to UW ,8,0,3,0
621,Cozy oasis in vibrant neighborhood,9,6,3,0
622,A bedroom close to UW,9,0,3,0
623,Cozy Room Near UW,8,1,3,0
624,Spacious Cozy Home by UW Lake Union,9,6,3,0
625,French Country Room w/Breakfast,9,1,3,0
626,Craftsman in University District,8,1,3,0
627,Cozy Loft Bed Near UW and Downtown,9,5,3,0
628,1 Bedroom by UW for Summer Rental,9,6,3,0
629,Roosevelt / Ravenna Retreat Apt.,5,5,3,0
630,"Studio Apt with patio, #105",4,3,3,0
631,1BD Apt. in University District,7,0,3,0
632,Sunny rooftop U district studio!,6,3,3,0
633,Center UW Comfy Quiet & View (302),5,1,3,0
634,Steps to UW Wood Floor Remodeled 12,7,6,3,0
635,Elegant Tangerine Room w/Breakfast,9,1,3,0
636,Great Location HEART of UW Studio,6,3,3,0
637,650 sqft 1 bed 1 bath apt,5,9,3,0
638,UNIVERSITY DISTRC CHARMER (Sleep10),0,0,3,0
639,Remodeled Walk to UW/View/Serene #F,4,2,3,0
640,Spacious Fast Internet Walk to UW43,7,6,3,0
641,Lovely 1 bedroom apartment,2,0,3,0
642,Steps to UW spacious New carpet 33,6,6,3,0
643,"2 Baths W/D,View walk UW (302)",2,0,3,0
644,Studio Apt w/ Patio - #B02,4,2,3,0
645,"Center UW, Comfy, Quiet &View (217)",7,1,3,0
646,Center UW Blast Internet New #101,7,0,3,0
647,Sweet Family Home near UW,3,8,3,0
648,Master Bedroom in 3BD Apartment,9,8,3,0
649,"Center UW, Comfy, Clean &View (204)",5,1,3,0
650,"Center UW, Comfy, Quiet &View (303)",6,0,3,0
651,Cozy 1bed apartment in the U-Dist,7,7,3,0
652,"Spacious,modernU Village W/D (304) ",4,0,3,0
653,Ideal for Family Reunions/Getaways,0,1,3,0
654,Ravenna Craftsman - 4 Bdrm by UW!,0,1,3,0
655,"Super comfortable, UW (44)",4,8,3,0
656,New carpet Walk to UW. Quiet Top 50,6,6,3,0
657,Apt In University District w/ View,7,2,3,0
658,Center UW Comfy Wood Floor (216),6,1,3,0
659,Spacious Room in the U District,7,2,3,0
660,The Pink Room w/Breakfast,9,1,3,0
661,A duplex near U district!,9,0,3,0
662,UW Hacker House - 2nd flr 4p 2L,9,9,3,0
663,Classic Craftsman - 95 Walk Score!,0,8,3,0
664,U-District/Ravenna Townhouse Room,9,7,3,0
665,Great Location Near the University,4,2,3,0
666,"3 Min walk to UW, Large Quiet (51)",6,7,3,0
667,Small&cozy place to stay in Seattle,8,7,3,0
668,The Yellow Room w/Breakfast,9,1,3,0
669,Bright Remodeled Basement Apartment,7,0,3,0
670,Across St. UW Tower Hotel Deca 206,7,1,3,0
671,The perfect home base in U-District,6,1,3,0
672,Center UW Quiet Comfy shortwalk 308,4,2,3,0
673,Nice bedroom close to UW and bus,9,0,3,0
674,Comfortable Room Near UW,7,1,3,0
675,3 BR/1 BA Seattle Cottage,3,9,3,0
676,Center UW Comfy Quiet & View (306),6,2,3,0
677,UW Studio Apartment,6,0,3,0
678,Center UW Blast Internet New #102,6,2,3,0
679,Remodeled wood Floor walk to UW 101,6,2,3,0
680,Serene W/D  walk toUW/U Village 404,6,0,3,0
681,Cute room right by express lane,9,5,3,0
682,Center UW Blast Internet New #102,7,3,3,0
683,Center UW Good WiFi Comfy 217,6,1,3,0
684,Private bath walk UW U Village(202),8,0,3,0
685,Room with Downtown Seattle Views!,4,1,3,0
686,Blue Nautical Room w/Breakfast,9,3,3,0
687,Standard room with 3/4 bath by UW,7,3,3,0
688,Interns-New available Walk to UW 41,6,8,3,0
689,"Clean, New, Upscale Studio Near UW",6,6,3,0
690,Cozy Apartment near UW ,6,0,3,0
691,Charming 1920s Unit in U-District,4,2,3,0
692,View Emerald City Jewel Apt UW 1BD,6,2,3,0
693,Seattle Green House Aprtment Campus,1,2,3,0
694,"Center UW, Convenient  Comfy  (212)",6,2,3,0
695,Architects' Garden Retreat,3,3,3,0
696,Sunny 1BR Apt in the U District,6,9,3,0
697,4BD/1BA Townhouse Close to UW,0,2,3,0
698,UW Hacker House- 2nd flr 2p L,9,7,3,0
699,Remodeled Hardwood 3 min walk UW 37,4,5,3,0
700,Center UW 2 beds large Quiet  (210),6,1,3,0
701,New Spacious Private Home UW Lake U,6,8,3,0
702,"Quiet Stay—UW, UDistrict, UVillage",8,0,3,0
703,"2 Baths W/D,View,  Walk UW (402)",2,0,3,0
704,Spacious and so close to UW (34),6,8,3,0
705,View Walk to UW Village 2B 2B (402),2,0,3,0
706,Center UW Comfy  New kitchen 103,5,1,3,0
707,University District One Bedroom,4,0,3,0
708,UW Hacker House - 2nd flr 4p 1L,9,6,3,0
709,"Cool, Fast WIFI walk to UW (14) ",6,8,3,0
710,UW Hacker House - 2nd flr 4p 1U,9,8,3,0
711,Charming Ravenna Park / UW  3br 2ba,0,9,3,0
712,UW Hacker House - 2nd flr 4p 2U,9,8,3,0
713,Cozy and central in the U District,9,0,3,0
714,"Cozy, Spacious 2 BD in Roosevelt",7,4,3,0
715,Townhouse in the U-District,9,0,3,0
716,Remodeled Craftsman in Seattle,0,2,3,0
717,Unfurnished Studio in GREAT locatio,9,4,3,0
718,Top Floor Corner Apt-Downtown View,4,3,3,0
719,Hardwood Clean Quiet Walk to UW (52,4,5,3,0
720,2 Ba/2 Br Fast Wifi Walk to UW (35),2,6,3,0
721,University District Oasis!,0,8,3,0
722,Metrobilly Retreat,6,1,6,0
723,Luxury bedroom in Madison Park,3,5,6,0
724,Garden Apartment in Madison Valley,3,1,6,0
725,Cute Lower-Level 1 Bd. Apartment,4,8,6,0
726,Modern and Comfortable Suite,1,2,6,0
727,BAMBOO BUNGALOW ,2,4,6,0
728,Charming and Private-AAA Location,2,6,6,0
729,Convenient E Capitol Hill Studio!,8,1,6,0
730,Madison Valley Garden Cottage,7,4,6,0
731,Mini-apt Seattle w/ bkyard oasis!,4,3,6,0
732,Cozy Suite Near Capitol Hill & Lake,9,8,6,1
733,Bleu Papillon Room,7,6,6,0
734,Classic Seattle,2,4,6,0
735,Guest House in Madison Valley,7,8,6,1
736,Cherry Hill Carriage House,6,7,6,0
737,Home near downtown Seattle,0,8,6,0
738,Central Seattle Home + Garden,1,1,6,0
739,Modern Room Close To All the Action,8,5,6,1
740,Large 1B condo w/views Capitol Hill,5,8,6,0
741,"Spacious 2BR/2.5 bath, gr8 location",2,6,6,0
742,"Private entrance, great location",4,7,6,0
743,Be Close to Everything on The Hill,2,4,6,0
744,Beautiful Town Home - Capitol Hill,1,6,6,0
745,Peaceful home in S. Capitol Hill,2,3,6,0
746,1BR Apt w/ Kitchen & Huge Backyard,6,6,6,0
747,Modern/Minimalist Apt next2 dwntown,7,8,6,1
748,Cozy Bedroom @ Cherry Hill House,9,3,6,0
749,Back Cabin Loft @ Cherry Hill House,8,2,6,0
750,Three Floors & Rooftop Deck Central,0,6,6,0
751,"Lovely 2BR Central, quiet, parking!",2,2,6,0
752,Special Events Venue and Guesthouse,0,1,6,0
753,Modern Central District Townhouse,2,5,6,0
754,Nice Private bedroom Near Downtown,8,5,6,1
755,Spring Street Center Room 2,8,8,6,1
756,Sweet Cabin @ the Cherry Hill House,9,2,6,0
757,"Artistic home, free parking",7,3,6,0
758,Chef's Luxurious Townhouse,6,2,6,0
759,Central Dist King Bd & Ensuite Bath,3,8,6,0
760,Quietude near downtown w/ parking,8,8,6,1
761,Urban Loft in Trendy Capitol Hill,2,9,10,0
762,Share - Geeks Paradise ,7,6,6,0
763,Residential Area Near Cap Hill,8,5,6,1
764,The Thrifter Central District 2Bed,4,2,6,0
765,"Cozy Home near Stadiums, Downtown",8,5,6,1
766,The Reading Room at The Farmhouse,7,4,6,0
767,Sunny Capitol Hill Room in 4plex,7,8,6,1
768,Spring Street Center Room 4,7,9,6,1
769,Spring Street Center Room 1 ,9,6,6,1
770,Private Bed/bath in Home: green (A),7,7,6,1
771,Cozy Room in Seattle,7,9,6,1
772,Private studio apartment with deck,6,2,6,0
773,Contemporary Urban - Master Bedroom,8,7,6,1
774," Cherry Hill Cozy, Budget Loft-Bed ",8,3,6,0
775,Near Seattle University on Cap Hill,5,5,6,0
776,Cozy Private Loft Apt with Balcony,4,5,6,0
777,Perfect Escape in Heart of Seattle,7,5,6,0
778,Private Garden Apt w/ Soaking Tub,3,5,6,0
779,Spectacular View on Capitol Hill,2,5,6,0
780,Spring Street Center Room 3,8,5,6,1
781,Architect award-winning modern home,1,3,6,0
782,Peaceful Room in Central Seattle,7,2,6,0
783,Charming Capitol Hill House.,2,5,6,0
784,Private room/bath just for you!,8,9,6,1
785,Cozy Condo Close to Everything!,7,2,6,0
786,Beautiful private Capitol Hill room,5,4,6,0
787,Cozy 2BD Seattle Home w/ Hot Tub,2,6,6,0
788,Seattle Studio Retreat,7,9,6,1
789,Charming 1 bedroom in Capitol Hill,5,7,6,0
790,The Corner Room at The Farmhouse,6,4,6,0
791,"Fun/Cool House on Cap Hill, Bdrm #1",8,5,6,1
792,Spacious loft apt centrally located,6,6,6,0
793,Single Bedroom in cap hill/CD,7,8,6,1
794,Victorian Charm on Cherry Hill,7,2,6,0
795,Geeks Paradise ,1,5,6,0
796,Central District Simple Clean Queen,4,8,6,0
797,"Spacious Lovely 2BR, Quiet, Parking",2,2,6,0
798,Private 420 Studio near downtown,7,3,6,0
799,"Seattle ""Sweet Suite"" Cherry Hill ",4,2,6,0
800,Central Dist Townhome  2 Twin Bed/s,4,4,6,0
801,Central District Get-a-way,6,7,6,0
802, BY Downtown*Universities*Hospitals,4,2,6,0
803,Spacious 2BR - prime time location,1,5,6,0
804,Central area home w/large backyard,4,2,6,0
805,"Cool/Fun House on Cap Hill, Bdrm #2",8,2,6,0
806,Sweet room near Capitol Hill!,9,8,6,1
807,Capitol Hill Master Bedroom,7,9,6,1
808,"Walkable, private Capitol Hill room",6,7,6,0
809,The Central in Seattle,2,3,6,0
810,Seattle Turret House (Apt 5),1,9,6,0
811,Cozy Attic Apartment,9,5,6,1
812,In the thick of things....,1,3,6,0
813,Seattle Turret House (Apt 3),1,9,6,0
814,Sunny 3BDhome near Downtown Seattle,1,8,6,0
815,Stylish 2-Level Capitol Hill Flat,4,7,6,0
816,"Comfortable, convenient,roof access",3,7,6,0
817,Modern Sanctuary,2,5,6,0
818,Seattle Turret House (Apt 4),1,9,6,0
819,"Cozy, Capitol Hill, Classic 1920s",5,8,6,0
820,Cute 1BD in Capitol Hill,6,7,6,0
821,Luxury Studio near Downtown Seattle,6,8,6,1
822,Bright Modern Room near Downtown,6,9,6,1
823,"room w/ private entrance, full bath",7,6,6,0
824,Private Bed/Bath in Home: blue (B),7,7,6,1
825,Calm and Cozy Urban Oasis,4,1,6,0
826,Modern 4BR/3.5BA Near Downtown,0,2,6,0
827,Central & quiet - close to downtown,8,7,6,1
828,Large 4- Bed House In Ideal Seattle,0,2,6,0
829,"Arty ""Cedar Tree"" Room  Cherry Hill",6,2,6,0
830,Family Friendly House July 20-27,1,4,6,0
831,"Spacious, Sunlit Capitol Hill Home",2,6,6,0
832,Private Room in Capitol Hill,6,2,6,0
833,The Parsonage: Modern 3bed/3.5bath,0,8,6,0
834,The Marion Flat on Cherry Hill,4,2,6,0
835,"SUPER TALL, 5-Level Loft, 2200sf",0,4,6,0
836,"California Modern, Open & Friendly",4,1,6,0
837,Private Bed/Bath in Modern Townhome,6,3,6,0
838,2BR/1Bath near Seattle University,5,3,6,0
839,LovelyCottage near Downtown Seattle,5,7,6,0
840,Private Floor in Sleek Modern House,4,9,6,0
841,Folksy Garden Studio,2,8,6,0
842,Sweet City Space,7,6,6,0
843,Capitol Hill - Walk Score 91,6,6,6,0
844,Seclusion in the HEART of Seattle,3,2,6,0
845,Room in award-winning modern home,6,4,6,0
846,Capitol Hill Condo Walk Everywhere!,1,7,6,0
847,Sparkling Modern Seattle Home,1,5,6,0
848,Charming Seattle Home Near Downtown,0,2,6,0
849,Stunning studio in trendy house,6,9,6,1
850,Central Cozy private full 1 BR+ apt,6,7,6,0
851,1 Bed+Den Eco-Retreat,2,3,6,0
852,"Lovely Cottage, Walk to Pike/Pine",4,3,6,0
853,Perfect Family Vacation Home in SEA,2,5,6,0
854,Sweet retreat in central Seattle!,2,7,6,0
855,Squire Park Lady 2-bed modern home,2,2,6,0
856,Luxury Lakeside Home with Views!,0,4,6,0
857,Cozy Creative Room - Private Bath,9,0,6,0
858,Charming Madrona 1 Bedroom,3,7,6,0
859,Ted's modern home - Master room,6,0,6,0
860,Lovely home close to town and lake,1,7,6,0
861,Private Entrance and Central,8,9,6,1
862,2 BR/2 BA Modern House,1,4,6,0
863,Spacious Designer Condo,6,4,6,0
864,Fantastic modern home in Leschi,0,1,6,0
865,Studio Loft Garden Cottage,7,6,6,0
866,"Lovely family home, stunning views",1,1,6,0
867,Ted's modern home - 2nd master room,7,0,6,0
868,Mother in Law Apartment- Queen Bed,6,9,6,1
869,Kitschy Central District w/ Hot Tub,4,2,6,0
870,"Grey Room, Seattle’s Best",8,6,6,1
871,New remodel. Chef's kitchen. A/C,8,5,6,1
872,Master Suite in Townhome,7,1,6,0
873,Be a Guest in this Perfect Townhome,8,1,6,0
874,Secluded Apartment in Leschi,6,7,6,0
875,Family Friendly Modern Seattle Home,3,1,6,0
876,Madrona 3BR/ 2BA Charming Craftsman,1,4,6,0
877,Centrally Located 3bd/2.5ba Home,2,0,6,0
878,Classical Sealle leafy street,6,5,6,0
879,Modern Seattle Townhome,1,0,6,0
880,Lake Washington view on Bus 27 line,8,6,6,1
881,"Convenient 2 BR, 10min to Downtown",3,8,6,0
882,Master with on suite bathroom,7,1,6,0
883,Private Studio Apt in Madrona,4,3,6,0
884,Madrona Urban Oasis-Views & Space!!,0,6,6,0
885,Quiet Place in a Busy City,9,2,6,0
886,Seattle View Home Near Lake/Downtow,0,4,6,0
887,Modern 2BR/2BA in Heart of Seattle,4,3,6,0
888,Private room heart of Seattle!,9,4,6,0
889,Cute 2 BR/1 BA in Central Seattle,3,1,6,0
890,Yellow Room is Top Floor Top Notch!,9,7,6,1
891,Ideal Home for Small Reunions,0,7,6,0
892,Modern charm in heart of Seattle,0,0,6,0
893,Cozy Escape,8,1,6,0
894,Modern home in heart of Seattle,0,0,6,0
895,Sparrow's Landing 2br/1ba Lake View,1,6,6,0
896,Modern luxury unit near downtown,2,4,6,0
897,Lake Washington-Close to Downtown,1,8,6,0
898,1 bedroom apt in Seattle/Leschi,8,9,6,1
899,Spacious spot in central location,7,0,6,0
900,The Lark's Nest,4,1,6,0
901,Green Room,9,4,6,0
902,Sweet Central District Guest House,3,3,6,0
903,"New, Clean Third Floor Studio Apt",6,4,6,0
904,"Luxury, Location, Great For Family",1,7,6,0
905,"New, modern Townhouse in Central",4,6,6,0
906,Gorgeous cottage 5 min to downtown,3,5,6,0
907,Townhouse in Seattle,1,2,6,0
908,In Jimi Hendrix's neighborhood 2,8,3,6,0
909,King Street Retreat,7,7,6,1
910,Downtown Seattle Vacation Condo,1,3,6,0
911,Loft next to Mt. Baker Light Rail,5,0,4,0
912,Private Room/Bath in Modern Home #2,8,2,6,0
913,"Quiet Room, 2-mile to downtown",9,4,6,0
914,Walkable to ID & Pioneer Square,3,4,6,0
915,Private Bed/Bath near Downtown,8,3,6,0
916,Basic Room in the Atlantic,9,7,6,1
917,Central Seattle Lodging House,5,8,6,0
918,Studio near stadiums and downtown,7,3,6,0
919,Central Seattle Room,6,4,6,0
920,Mod Home Central Seattle,0,5,6,0
921,"Fun, Cozy Seattle Launchpad",8,4,6,0
922,Giant One Bedroom in the CD,3,6,6,0
923,Bohemian Retro Style Studio,4,7,6,0
924,Near Downtown Studio,6,4,6,0
925,Family friendly home near downtown ,6,8,6,1
926,Oasis in the City,0,1,6,0
927,Spacious loft space close to all,4,6,6,0
928,"Urban cabin with loft, full kitchen",6,5,6,0
929,3BR Central District House,1,2,6,0
930,Seattle 1BD Condo - Great Location!,4,3,6,0
931,Cozy Suite ~1 Mile from Seahawks,8,4,6,0
932,Ted's modern home - Second room,7,0,6,0
933,Huge Industrial Live-Work Loft,2,2,6,0
934,Urban Farmhouse - Seattle Oasis,2,2,6,0
935,"Private Room/Bath, Downtown-2 miles",8,6,6,1
936,"Beautiful, fully equipped studio ",6,9,6,1
937,Central location/1900s Home w/patio,7,8,6,1
938,"Quaint & Cozy, a Place to Call Home",4,5,6,0
939,Seattle Private Rm Next to Downtown,6,5,6,0
940,The Norman - Modern Simplicity,3,9,6,0
941,"Modern Apartment, Downtown-2 miles",7,8,6,1
942,The Landing,6,3,6,0
943,Modern + Green 2BD Townhouse,2,9,6,0
944,3 BR/2.5 BA Home in Seattle,0,9,6,0
945,Private Room/Bath in Modern Home #1,8,3,6,0
946,Artists home,8,3,6,0
947,"Large Room, 2-mile to downtown",9,7,6,1
948,In Jimi Hendrix's neighborhood 3,8,7,6,1
949,Modern and cozy home in Seattle,2,5,6,0
950,1 Bedroom Apt near Downtown Seattle,4,9,6,0
951,1BdRm 3bds w/AC fits 6snug Near DT ,7,5,6,0
952,Pike Place High Rise 99 Walk Score,3,6,1,0
953,Downtown Apt by Pike Place Market,5,8,10,1
954,Marketside Flats next to Pike! MS1,7,9,10,1
955,Spacious Room in Pike Place Market!,6,7,10,1
956,Amazing Waterview! PIKE PLACE! HSW,3,9,1,0
957,Green Tortoise Hostel,9,9,10,1
958,Triple Venti View & Suite Lux,0,6,10,0
959,Pikes market with view and parking,2,9,10,0
960,Pike Place Market - Art Suite,1,7,10,0
961,Green Tortoise,9,9,10,1
962,"5 Star View, PIKE PLACE, Parking S9",5,9,10,1
963,Luxurious Seattle Apartment,5,9,1,0
964,Modern Loft in Pike Place,2,7,10,0
965,Pike's Place. 100 Walkscore,1,8,10,0
966,Pike Place Market - Art Gallery,2,8,10,0
967,Modern apt. In the heart of Seattle,2,9,10,0
968,"Pike Place Market, Parking, View S3",6,9,10,1
969,2BD SEA Pike Place & Belltown Haven,0,9,10,0
970,Downtown Seattle Apartment 1BR Unit,6,9,10,1
971,CITY CENTER downtown location!,2,7,10,0
972,Large Pike Place Apt w/ Balcony,4,9,10,0
973,"2 Bedroom, 2 Bath Cloud Nine Oasis",0,8,10,0
974,Perfect location. Luxury apartment.,2,6,10,0
975,Pike Place Market - Downtown Apt,5,9,10,1
976,Pike Place Market GetAway with View,2,9,10,0
977,Best View in Downtown Seattle,0,9,10,0
978,Lake Union City Cabin,3,6,2,0
979,Modern + Cozy Eastlake/Lk Union 2BR,4,5,2,0
980,Charming Eastlake Bungalow,7,9,2,0
981,"Lake Union view ""Sky Cabin"" apt.",3,9,2,0
982,Spanish Deco Lakeside Apartment,3,8,2,0
983,Cozy Eastlake Flat. Amazing Views,4,4,2,0
984,Great Location by Lake Union & SLU,6,4,2,0
985,VIEW APT OVERLOOKING LAKE UNION!!!!,3,5,2,0
986,Eastlake Condo,6,6,2,0
987,Sweet APT. Eastlake View Lake Union,6,4,2,0
988,Charming Eastlake Townhouse ,3,8,2,0
989,Clean+Comfy Eastlake/Lk Union 1BR,6,2,2,0
990,Spacious Light-Filled Eastlake Apt,3,6,2,0
991,Modern+Clean 2BR Eastlake/Lk Union,3,3,2,0
992,"Charming, Bright Condo, UW to City",2,8,10,0
993,Eastlake Union Summer Getaway,3,5,2,0
994,Perfect location in seattle (3),9,7,2,0
995,Lake Union Tranquil Retreat,6,8,2,0
996,Cozy Eastlake Studio Apartment,6,6,2,0
997,Convenient & Cozy Eastlake Location,4,9,2,0
998,Eastlake Townhome (Private Room),8,3,2,0
999,Perfect location in seattle,2,9,2,0
1000,"Lake Union view ""Garden Apartment""",4,7,2,0
1001,Perfect location in seattle (2),5,5,2,0
1002,The Seattle Carriage House,0,6,10,0
1003,Cozy Studio Near Everything,6,7,2,0
1004,Stay with a view close to downtown,8,7,2,0
1005,Studio in Eastlake/New apt building,3,7,2,0
1006,Beautiful 1 bdrm~ Eastlake-prime!,3,4,2,0
1007,Perfect Location on Lake Union,1,7,2,0
1008,Great View in Eastlake,8,9,2,0
1009,Heart of Seattle... 1br appartment,6,8,2,0
1010,Sunny Vintage Studio with Lake View,5,5,2,0
1011,The Franklin Place in Eastlake,3,8,2,0
1012,Private Eastlake - Steps to Lake.,6,7,2,0
1013,"Olympics, LakeUnion, Downtown....",1,8,10,0
1014,Spacious & bright room in Eastlake,9,6,2,0
1015,Center Of The Seattle-Verse !,6,8,2,0
1016,NEW 1 BD listing CENTRAL/MODERN,3,8,2,0
1017,1920's Eastlake Home Close to Water,9,8,2,0
1018,Incredible View Lake Union Condo!,3,8,2,0
1019,Economical & Spacious 2BD w Parking,4,3,2,0
1020,1BR 1BA Aptmnt in Amazing Location!,3,7,1,0
1021,South Lake Union Penthouse,0,4,1,0
1022,Nice apartment in center of city,5,5,1,0
1023,Modern Loft | Great Location!,6,4,1,0
1024,Super-hip luxury SLU apartment,4,6,1,0
1025,Centrally Located Eastlake Studio,7,8,2,0
1026,Lake Union Master Room (w/bath),5,2,1,0
1027,Modern luxury apartment,6,7,1,0
1028,Great Condo 3 blocks to SpaceNeedle,6,4,1,0
1029,Westlake Ave Downtown Condos 1BD,1,7,1,0
1030,Central near Amazon. Walkscore-97! ,3,8,1,0
1031,Westlake Ave Downtown Condos 1BD 4,1,5,1,0
1032,Turn of the Century Apartment,4,5,1,0
1033,Westlake Ave Downtown Condos 1BD 2,1,7,1,0
1034,Great views of the Space Needle!,4,7,1,0
1035,94 walk-score elegant SLU Apt. room,7,7,1,0
1036,Upscale studio in South Lake Union,4,7,1,0
1037,Westlake Ave Downtown Condos 1BD 3,1,6,1,0
1038,South Lake Union Penthouse Room,1,5,1,0
1039,Modern Open 1-Bedroom,4,6,1,0
1040,"Magnolia charm, close to downtown",1,9,8,0
1041,Steps from magical Discovery Park-3,1,7,8,0
1042,"Super location, 3.5ba, Free Parking",0,5,8,0
1043,Charming English room by Park,9,9,8,1
1044,A quiet oasis in Seattle,7,4,8,0
1045,Private Bed & Bath Near Downtown,9,3,8,0
1046,Room With Balcony,7,8,8,1
1047,The Suburbs Near Downtown Seattle,5,3,8,0
1048,Fabulous Seattle Modern,0,6,8,0
1049,Light-filled 2BR/1BA Home Magnolia,1,2,8,0
1050,Bright + Modern Townhouse w/ 3 Bdrm,1,2,8,0
1051,Cityscape and water view included!,4,7,8,0
1052,Bright Quiet Room Close to Downtown,9,2,8,0
1053,"Seattle Resting Nest ,3BR Near DT",2,1,8,0
1054,Sunny Cottage near Discovery Park,9,8,8,1
1055,"New townhouse, NW of downtown",8,6,8,1
1056,Quiet Spacious Apartment with View!,3,8,8,0
1057,Magnolia/Discovery Park House,0,4,8,0
1058,Zen Garden Oasis!,2,7,8,0
1059,Cozy Bedroom w/ Private Bath & Deck,7,3,8,0
1060,North Village Park B&B,4,4,8,0
1061,"1,600+ sq ft Penthouse View Condo",0,6,8,0
1062,Steps from magical Discovery Park-1,7,6,8,1
1063,Steps from magical Discovery Park-2,3,9,8,0
1064,"Big Room, Queen Bed, Near Downtown",9,4,8,0
1065,Spacious Bedroom with Private Bath,9,1,8,0
1066,Lovely Cape Cod by Discovery Park!,1,5,8,0
1067,Seattle Discovery Birdhouse,6,6,8,1
1068,Magnolia ADU,5,2,8,0
1069,Waterfront View home in Seattle,1,1,8,0
